lead_id,email,first_name,last_name,title,company,lead_status,lead_source,job_persona,job_level,created_date,mql_date,is_converted,converted_contact_id,mkto_lead_score,is_disqualified,dq_reason,dq_date,has_opted_out,email_bounced,no_longer_with_company,linked_account_id,_archetype
0e98a4323b7e417c,alexander.oneill@saundersraya.com,Cheryl,Gray,"Education officer, environmental",Lewis-Salinas,Disqualified,Purchased List,Champion,Individual Contributor,2024-07-07,,True,,121,True,Personal Email,2025-01-07,False,True,False,5222885603444a2b,
b93fc97756dd4544,matthew.beard@beardpetersa.com,Matthew,Beard,"Engineer, aeronautical",Allen Group,Disqualified,Referral,Technical Buyer,Individual Contributor,2024-03-10,,True,31110214af114c2c,70,False,,,False,False,False,77c8c3c88eb14977,
f43799fb22e54bf5,tracy.chang@alvarezjosep.com,Tracy,Chang,,Phillips Group,New,Web,End User,,2024-03-10,,True,,212,False,,,False,False,False,8c4b560093a84fdc,
f0e4f07723ff481c,thomas85@yahoo.com,Heather,Torres,"Physicist, medical","Pierce, Bell and Chavez",Qualified,Purchased List,CISO,Individual Contributor,2023-06-01,,True,96e989da68254457,110,False,,,False,False,True,6061601e92cc41ac,
a15cf34c6c994d76,kristopher.hall@leewilsonand.com,Kristopher,Hall,,Robinson Group,MQL,Purchased List,Non-Prospect,,2024-03-10,2024-12-24,True,f669ca9a4acd434d,219,False,,,False,False,False,b0f9b74b088b4295,
79caf699ab584fed,joshua.lawrence@carlsonhoope.com,Joshua,Lawrence,,Ward LLC,MQL,Web,Champion,Director,2024-03-10,2024-12-31,True,,34,False,,,False,False,False,7bb61528e44b48b4,
53096329d289478b,brandon08@yahoo.com,Alexis,Ferguson,,"Raymond, Little and Mullins",New,Content Syndication,,C-Level,2022-08-24,,True,f6203f5b97d34f97,103,True,Duplicate,2025-02-28,False,False,True,95d0c4c8b63a4dee,
40f9fa74e1f64eac,curtis.smith@harrison-ale.com,Curtis,Smith,Educational psychologist,King Group,MQL,Content Syndication,End User,Director,2022-01-15,2025-03-30,True,18431ee82d7b4441,173,False,,,False,False,False,df6c63afbf9d4157,
6d14a5c65466472b,danny.jones@jones-soto.com,Danny,Jones,Astronomer,Hernandez PLC,MQL,Content Syndication,Champion,,2023-08-09,2025-04-10,True,9f5e8a0147164745,227,False,,,False,False,False,59667f3bc6f347c2,
cf3d3d371acf4c16,stacy.miller@wilsongroup.com,Stacy,Miller,Trading standards officer,"Gibbs, Perez and Mills",New,Purchased List,Economic Buyer,,2024-03-10,,True,177d9cd73f9f483a,187,True,Personal Email,2024-08-20,True,True,False,,
8733545633cb440b,francis.guerra@lambmartinan.com,Shannon,Ramos,,"Garcia, Farmer and Garrett",MQL,Purchased List,Economic Buyer,Manager,2022-01-15,2025-03-14,True,2db7a24dd22e4d5a,228,False,,,False,False,False,5222885603444a2b,
6f551af0e6e64e0b,contact@thompson.com,Joseph,Miller,"Accountant, chartered",Hayes-Wheeler,Recycled,Partner,,VP,2024-03-10,,True,f660eb290bc240aa,89,False,,,True,False,False,030ca3bf068d4b35,
317899368e174ef0,jacqueline71@yahoo.com,Kelly,Hall,Facilities manager,French-Weber,MQL,Event,,Manager,2022-01-15,2024-12-29,True,e6fe353aa34e40f1,37,False,,,False,True,False,92dcf995cbfd43f9,
f011ddc38abb4c86,donna.peck@wilson-walke.com,Donna,Peck,Database administrator,Serrano-Jones,Qualified,Referral,End User,VP,2024-12-09,,True,f45c994a5a57444b,265,False,,,True,False,False,1ec41f6ee0b840c9,
ee359c9d1377460a,gabriel.parker@hollowaymors.com,Gabriel,Parker,,"Torres, Powell and Nelson",New,Event,Champion,VP,2022-01-15,,True,50aa4e71898048be,41,False,,,False,True,False,0ebf06d5092e4a43,
5d75ce2415644419,amber.kim@williamsreyn.com,Amber,Kim,,Davis Ltd,MQL,Partner,Economic Buyer,Manager,2022-07-17,2024-11-06,True,385891a5a9c0474f,237,False,,,False,False,False,,
