entity_id,entity_type,first_name,last_name,email,email_type,title,job_persona,job_level,company,lead_status,readiness_score,priority_tier,is_actionable,engagement_component,account_component,persona_component,intent_component,real_responses_30d,real_responses_90d,webinar_event_attended_90d,days_since_last_response,auto_share,real_engagements,total_engagements,pct_responses_30d,pct_responses_90d,pct_webinar_90d,pct_recency,account_id,is_icp_qualified,is_named_account,intent_score,employee_count,annual_revenue,industry,pct_employee_count,pct_annual_revenue,pct_intent,mkto_score,mkto_score_normalized,mql_date,is_mql,dq_flags,flag_count,has_opted_out,email_bounced,no_longer_with_company,is_disqualified,dq_reason,score_explanation,_archetype,rank
177b9837c61e4cf8,contact,Allen,Rivera,allen.rivera@whitneyplc.com,corporate,Insurance account manager,CISO,C-Level,,MQL,73.4,Call Now,True,0.6683,0.5184,1.0,0.9751,2,3,1,7,0.25,3,4,0.7543640897755611,0.7618453865336658,0.743142144638404,0.7955112219451371,ed46b7e1981c4815,False,False,99.0,8243.0,977785443.45,Insurance,0.8125623130608175,0.7796610169491526,0.9750747756729811,6,3.0,2025-02-14,True,BROKEN_CONV_LINK,1,False,False,False,False,,engaged in last 7 days | attended 1 webinar/event(s) in 90d | 2 real responses in 30d | C-Level CISO | high account intent (99) | flags: BROKEN_CONV_LINK,,1
5f307750e263417d,lead,Lee,Doyle,jamesweber@yahoo.com,free_email,,,C-Level,,MQL,72.9,Call Now,True,0.6777,0.851,0.675,0.7891,7,9,5,3,0.543,16,35,0.9342762063227953,0.9193011647254575,0.9725457570715474,0.8951747088186356,295c66745123441e,True,True,80.0,1943.0,382984785.57,Financial Services,0.6121635094715853,0.6430707876370887,0.7891326021934197,32,10.666666666666668,2025-01-13,True,OPT_OUT|EMAIL_BOUNCED|FREE_EMAIL|INCOMPLETE_PROFILE,4,True,True,False,False,,engaged in last 7 days | attended 5 webinar/event(s) in 90d | 7 real responses in 30d | named target account | ICP-qualified account | high account intent (80) | flags: OPT_OUT|EMAIL_BOUNCED|FREE_EMAIL|INCOMPLETE_PROFILE,,2
f5feba78fb7e48ea,lead,Charles,Owens,david89@outlook.com,free_email,"Education officer, environmental",Economic Buyer,Director,,MQL,70.8,Call Now,True,0.6778,0.5833,0.775,0.9048,10,18,3,2,0.581,31,74,0.978369384359401,0.9966722129783694,0.9118136439267887,0.9342762063227954,d8466f11f04b43e0,True,False,92.0,715.0,116839185.08,Technology,0.4621136590229312,0.4541375872382851,0.9047856430707877,247,82.33333333333334,2025-04-15,True,EMAIL_BOUNCED|FREE_EMAIL,2,False,True,False,False,,engaged in last 7 days | attended 3 webinar/event(s) in 90d | 10 real responses in 30d | Director Economic Buyer | ICP-qualified account | high account intent (92) | flags: EMAIL_BOUNCED|FREE_EMAIL,,3
1d5f9f0182fb45d2,contact,Eric,Cox,eric.cox@martinezands.com,corporate,,,VP,,Nurture,70.8,Call Now,True,0.6984,0.7127,0.625,0.8136,10,15,6,1,0.573,32,75,0.9812967581047382,0.9800498753117207,0.9812967581047382,0.972568578553616,cd5d7d18041a4161,False,True,82.0,7574.0,830651851.28,Government,0.8020937188434696,0.7612163509471586,0.8135593220338984,3,1.5,,False,OPT_OUT|EMAIL_BOUNCED|INCOMPLETE_PROFILE,3,True,True,False,False,,engaged in last 7 days | attended 6 webinar/event(s) in 90d | 10 real responses in 30d | named target account | high account intent (82) | flags: OPT_OUT|EMAIL_BOUNCED|INCOMPLETE_PROFILE,,3
0307f38393e94602,lead,Tom,Brokenlink,broken.link@splitdata.com,corporate,Director of IT,Technical Buyer,Director,,MQL,69.9,Call Now,True,0.7402,0.5378,0.8,0.678,1,3,3,23,0.0,3,3,0.6464226289517471,0.7861896838602329,0.9118136439267887,0.6164725457570716,ad9e507474884f1b,False,False,66.0,8767.0,1988593719.84,Government,0.8295114656031904,0.8594217347956131,0.6779661016949152,140,46.666666666666664,2025-04-01,True,BROKEN_CONV_LINK,1,False,False,False,False,,engaged in last 30 days | attended 3 webinar/event(s) in 90d | 1 real responses in 30d | Director Technical Buyer | flags: BROKEN_CONV_LINK,persona_7_broken_link_lead,5
e5cb45cd78f149c7,contact,Melissa,Mitchell,joshuawhitehead@yahoo.com,free_email,,Non-Prospect,C-Level,,MQL,68.4,Blocked,False,0.6763,0.6229,0.5,0.9751,10,18,7,2,0.603,31,78,0.9812967581047382,0.9875311720698254,0.9875311720698254,0.9164588528678305,15f83994f0344e83,True,False,99.0,1815.0,160100818.1,Technology,0.6051844466600199,0.5094715852442672,0.9750747756729811,32,16.0,2025-04-26,True,NON_PROSPECT|FREE_EMAIL|BROKEN_CONV_LINK,3,False,False,False,False,,engaged in last 7 days | attended 7 webinar/event(s) in 90d | 10 real responses in 30d | ICP-qualified account | high account intent (99) | flags: NON_PROSPECT|FREE_EMAIL|BROKEN_CONV_LINK,,6
65d641e051364537,contact,Tom,Brokenlink,broken.link@splitdata.com,corporate,Director of IT,Technical Buyer,Director,,Active,68.0,Call Now,True,0.7422,0.3019,0.8,0.8569,1,2,2,8,0.0,2,2,0.6471321695760599,0.6945137157107232,0.8466334164588528,0.7805486284289277,2264035d9d624a0a,False,False,85.0,193.0,12544082.19,Telecommunications,0.2971086739780658,0.2123629112662014,0.8569292123629113,75,37.5,2025-04-18,True,BROKEN_CONV_LINK,1,False,False,False,False,,engaged in last 30 days | attended 2 webinar/event(s) in 90d | 1 real responses in 30d | Director Technical Buyer | high account intent (85) | flags: BROKEN_CONV_LINK,,7
16bba9f43ad44a2f,lead,Lisa,Wilkerson,perryrandy@gmail.com,free_email,,,VP,,Attempted,67.7,Call Now,True,0.6974,0.7753,0.625,0.5314,11,18,7,1,0.592,31,76,0.9908485856905158,0.9966722129783694,0.9933444259567388,0.9816971713810316,51fda49d72334d69,True,False,42.0,21604.0,5840728921.39,Financial Services,0.9117647058823529,0.9646061814556331,0.5314057826520439,169,56.333333333333336,,False,NO_LONGER_WITH_COMPANY|FREE_EMAIL|INCOMPLETE_PROFILE,3,False,False,True,False,,engaged in last 7 days | attended 7 webinar/event(s) in 90d | 11 real responses in 30d | ICP-qualified account | flags: NO_LONGER_WITH_COMPANY|FREE_EMAIL|INCOMPLETE_PROFILE,,8
19c2857cad4247ff,contact,Edward,Molina,edward.molina@cobb-taylor.com,corporate,"Pilot, airline",Technical Buyer,Individual Contributor,,MQL,67.7,Call Now,True,0.6689,0.5833,0.6,0.9048,3,4,2,2,0.429,8,14,0.8254364089775561,0.8179551122194514,0.8466334164588528,0.9164588528678305,d8466f11f04b43e0,True,False,92.0,715.0,116839185.08,Technology,0.4621136590229312,0.4541375872382851,0.9047856430707877,8,4.0,2024-12-01,True,NO_LONGER_WITH_COMPANY,1,False,False,True,False,,engaged in last 7 days | attended 2 webinar/event(s) in 90d | 3 real responses in 30d | Individual Contributor Technical Buyer | ICP-qualified account | high account intent (92) | flags: NO_LONGER_WITH_COMPANY,,8
f9764d7182164086,lead,Allen,Noble,allen.noble@alexanderinc.com,corporate,Phytotherapist,Technical Buyer,,,MQL,67.5,Call Now,True,0.5936,0.851,0.6,0.7891,4,7,2,5,0.622,17,45,0.8685524126455907,0.8860232945091514,0.8444259567387687,0.8469217970049917,295c66745123441e,True,True,80.0,1943.0,382984785.57,Financial Services,0.6121635094715853,0.6430707876370887,0.7891326021934197,157,52.33333333333333,2024-11-02,True,EMAIL_BOUNCED,1,False,True,False,False,,engaged in last 7 days | attended 2 webinar/event(s) in 90d | 4 real responses in 30d | nan Technical Buyer | named target account | ICP-qualified account | high account intent (80) | flags: EMAIL_BOUNCED,,10
